Video Name,Video URL,Asset Type,Created At
"ElevenLabs for Mini app making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/e691aa973c6f4bad955854ccf2c221c5.mp4","video","2026-06-30T07:17:23.991487"
"ElevenLabs AI for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/bdcac81fd4f14ffe8ea63c514059fbf2.mp4","video","2026-06-30T07:17:03.274356"
"ElevenLabs ai  for marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/058673fdf42a4f9d8a20de6c21383376.mp4","video","2026-06-30T07:16:49.710401"
"ElevenLabs AI for White Collar Executive","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/8bda71fc8b854ca9aab6d2b888683cec.mp4","video","2026-06-30T07:16:36.414755"
"Lovable for Earning Focused AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Lovable_Intros/babf027797d146ee9c279cd98d66ac61.mp4","video","2026-06-30T07:20:25.293937"
"MagicSchool AI for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/MagicSchool_Intros/fde28b53700b4cecaecc0ac043adc6a7.mp4","video","2026-06-30T08:07:51.807350"
"Gamma for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/62cb6805414e46c1b810e661f4308306.mp4","video","2026-06-30T08:16:37.890943"
"Gamma for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/bebb17117892402398ec7ed220d26844.mp4","video","2026-06-30T08:16:28.359325"
"Gamma for Earnings focused AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/b31d2f1aa2e04ddcbe6246ba9245082f.mp4","video","2026-06-30T08:14:22.364198"
"Gamma for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/4fe8bb6f8cd544fba73a403e779ea2ec.mp4","video","2026-06-30T08:13:16.979503"
"Gamma for Business Workflow Automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/04c01134625f4526bf061c49a2ed2b1f.mp4","video","2026-06-30T08:12:58.599292"
"Gamma for professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/6a4e11e6317c4186ade1889cd58bd6fa.mp4","video","2026-06-30T08:12:39.102847"
"Gamma for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/d97dbe9779884bad98fffbbc8aabb750.mp4","video","2026-06-30T08:12:32.011501"
"Gamma for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gamma_Intros/19d750a70d914648bb894e69dde21140.mp4","video","2026-06-30T08:08:49.067284"
